"","Venue","HomeScore","AwayScore","HomeFGmade","HomeFGattempted","HomeFGpct","Home3ptmade","Home3ptattempted","Home3ptpct","HomeFreeThrowsMade","HomeFreeThrowsAttempted","HomeFreeThrowPct","HomeOffensiveRebounds","HomeTotalRebounds","HomeAssists","HomeSteals","HomeBlocks","HomeTurnovers","HomeFouls","AwayFGmade","AwayFGattempted","AwayFGpct","Away3ptmade","Away3ptattempted","Away3ptpct","AwayFreeThrowsMade","AwayFreeThrowsAttempted","AwayFreeThrowPct","AwayOffensiveRebounds","AwayTotalRebounds","AwayAssists","AwaySteals","AwayBlocks","AwayTurnovers","AwayFouls","Season","WinPct"
"1","ILL20",76.4,67.2,27.7,57.3,0.4836,6.7,20.2,0.334,14.3,21.4,0.6698,8.2,37.3,16.1,6,2.7,12.6,16.4,24.6,61.1,0.4054,7.2,21.6,0.3435,10.8,15.5,0.6838,6.4,28.6,9.3,5.8,3.3,11,19.1,"2020",0.8
"2","ILL21",74.4,66.5,26.7,60.6,0.4398,9.3,27.1,0.3433,11.7,16.1,0.7153,8.8,34.4,14.6,4.8,2.7,9.4,15.5,24.3,60,0.4078,5.7,18.1,0.3163,12.2,17.7,0.632,8.3,31.6,9.6,5.2,2.5,10.2,17.5,"2021",0.8
"3","ILL22",72.3,68.3,25.4,58,0.4396,6.8,22.4,0.314,14.7,21.5,0.6801,9.6,35.2,10.2,5.9,5.1,10.3,14.1,26.3,60.7,0.4368,6.2,17.4,0.3322,9.5,14.1,0.6803,7.9,31.8,9.5,5.8,3.2,10.4,18.4,"2022",0.8
"4","IOWA20",81.3,71.7,28.3,60.4,0.4692,10,26,0.3922,14.7,21.1,0.6964,9.7,38,19.6,5.2,3.8,9.1,14.2,25.9,62.7,0.4156,10.1,28.3,0.3632,9.8,14.1,0.6954,9.1,32.5,15.9,5.7,2.9,9.9,18.9,"2020",0.8
"5","IOWA21",80.3,70.9,28.9,65.6,0.4391,8.8,25.1,0.3476,13.7,18.1,0.7419,10.6,33.7,14.5,8.3,4.5,7.8,16.4,25.4,58.5,0.4377,8.3,23.8,0.3488,11.8,17.1,0.6724,9,34.1,15.4,5.3,2.7,13.5,17.2,"2021",0.7
"6","IOWA22",88.1,81.1,30.4,63.4,0.4835,10,25.4,0.3966,17.3,21.6,0.7841,10.2,31.6,18,7.2,3.3,9.2,15.7,30.4,58.4,0.5232,8.3,19.4,0.4328,12,15.8,0.7373,7.2,30.1,16.1,5.1,3.4,13.1,19,"2022",0.8
"7","IU20",70.4,73.2,24.4,55.2,0.4461,5.5,17,0.3501,16.1,23,0.7067,8.1,30.1,12.8,6,3.3,11.5,18.6,24.9,54.7,0.4567,7.9,20.9,0.383,15.5,20.8,0.7529,7.7,30.9,10.5,6.4,3.2,11.3,19.9,"2020",0.4
"8","IU21",67.5,64.6,24.5,56.2,0.4402,5.9,17.8,0.3384,12.6,17,0.7463,6.5,30,12.6,6.1,4.8,8.8,15.4,23,54.2,0.4279,7.8,22.2,0.3593,10.8,15.1,0.7357,5.5,30.6,10.5,5.2,2.3,11.8,16.1,"2021",0.6
"9","IU22",75.4,69.8,28.5,59.4,0.4796,6.1,14.5,0.3952,12.3,16.4,0.7468,8.4,32.3,13.9,6.5,4.5,10.7,17.9,25.2,58,0.4353,6.9,21.1,0.325,12.5,18.9,0.647,9.5,32.2,11.1,6.1,3.2,10.1,16.2,"2022",0.8
"10","MARY20",66.3636363636364,67.4545454545455,23.6363636363636,53.5454545454545,0.443636363636364,9.09090909090909,24.5454545454545,0.376545454545455,10,12.9090909090909,0.743636363636364,4.90909090909091,29.8181818181818,13.2727272727273,5,2.90909090909091,10.6363636363636,14,23.9090909090909,56.5454545454545,0.422090909090909,8.90909090909091,24.6363636363636,0.360272727272727,10.7272727272727,14.5454545454545,0.738090909090909,7.27272727272727,32.1818181818182,12.7272727272727,5.90909090909091,2.90909090909091,10.1818181818182,15.4545454545455,"2020",0.454545454545455
