"","Venue","Season","Date","Year","Month","Opp","W/L","HomeScore","AwayScore","HomeFGmade","HomeFGattempted","HomeFGpct","Home3ptmade","Home3ptattempted","Home3ptpct","HomeFreeThrowsMade","HomeFreeThrowsAttempted","HomeFreeThrowPct","HomeOffensiveRebounds","HomeTotalRebounds","HomeAssists","HomeSteals","HomeBlocks","HomeTurnovers","HomeFouls","AwayFGmade","AwayFGattempted","AwayFGpct","Away3ptmade","Away3ptattempted","Away3ptpct","AwayFreeThrowsMade","AwayFreeThrowsAttempted","AwayFreeThrowPct","AwayOffensiveRebounds","AwayTotalRebounds","AwayAssists","AwaySteals","AwayBlocks","AwayTurnovers","AwayFouls"
"1","ILL","2020","2020-12-15","2020","12","Minnesota","1",92,65,34,64,0.531,7,19,0.368,17,25,0.68,7,49,21,2,2,13,27,19,69,0.275,7,28,0.25,20,32,0.625,10,32,10,7,6,8,19
"2","ILL","2020","2020-12-26","2020","12","Indiana","1",69,60,24,54,0.444,7,20,0.35,14,18,0.778,7,38,15,5,2,11,9,23,58,0.397,7,18,0.389,7,9,0.778,2,26,9,6,4,7,15
"3","ILL","2020","2021-01-02","2021","01","Purdue","1",66,58,25,52,0.481,7,20,0.35,9,22,0.409,5,36,17,6,6,11,15,22,56,0.393,7,16,0.438,7,12,0.583,5,32,11,3,4,14,20
"4","ILL","2020","2021-01-10","2021","01","Maryland","0",63,66,25,61,0.41,5,15,0.333,8,12,0.667,8,34,15,7,2,8,13,22,55,0.4,8,20,0.4,14,17,0.824,7,29,8,2,7,10,13
"5","ILL","2020","2021-01-16","2021","01","Ohio State","0",81,87,29,60,0.483,9,26,0.346,14,20,0.7,10,28,15,6,1,10,20,29,54,0.537,11,21,0.524,18,23,0.783,6,27,12,6,1,11,20
"6","ILL","2020","2021-01-19","2021","01","Penn State","1",79,65,26,57,0.456,7,23,0.304,20,28,0.714,7,33,18,7,8,14,21,21,62,0.339,7,18,0.389,16,21,0.762,12,36,8,10,0,15,26
"7","ILL","2020","2021-01-29","2021","01","Iowa","1",80,75,29,58,0.5,8,19,0.421,14,17,0.824,8,36,15,6,1,12,14,31,72,0.431,10,25,0.4,3,6,0.5,11,30,17,4,4,8,15
"8","ILL","2020","2021-02-06","2021","02","Wisconsin","1",75,60,28,53,0.528,5,16,0.313,14,21,0.667,10,44,16,8,1,18,10,25,60,0.417,4,24,0.167,6,11,0.545,2,19,6,10,4,11,16
"9","ILL","2020","2021-02-16","2021","02","Northwestern","1",73,66,27,52,0.519,8,21,0.381,11,22,0.5,8,32,16,5,2,15,16,27,64,0.422,6,25,0.24,6,8,0.75,6,30,4,6,1,12,22
"10","ILL","2020","2021-02-25","2021","02","Nebraska","1",86,70,30,62,0.484,4,23,0.174,22,29,0.759,12,43,13,8,2,14,19,27,61,0.443,5,21,0.238,11,16,0.688,3,25,8,4,2,14,25
"11","ILL","2021","2021-12-03","2021","12","Rutgers","1",86,51,32,66,0.485,12,33,0.364,10,11,0.909,12,45,19,8,6,10,10,21,68,0.309,7,17,0.412,2,4,0.5,11,27,14,5,2,13,15
